Model;acc;val_acc;test_acc
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adadelta;0.9977433935124823;0.993606728150405;0.8362389814258205
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adadelta;0.9987105105785613;0.9957073746081171;0.8381978452614309
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adagrad;0.7865248206044535;0.7863731809223784;0.6425073457978498
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adagrad;0.9986782733430254;0.9955247091652542;0.9529872673965925
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adagrad;0.9980496472500741;0.9951593796241577;0.9527913810106963
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adagrad;0.9987588664318653;0.9957987070628003;0.9230166503778284
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adamax;0.9993874925248166;0.9966206986214519;0.7986287953104024
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adamax;0.9978078679835543;0.9961640363480361;0.889128305582762
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adamax;0.999049001551689;0.9958900395174833;0.904603330080236
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adamax;0.9981785961922179;0.9890401048827513;0.8039177277412751
model : layers: [40, 40] ['relu', 'relu'] optimizer: Nadam;0.9979851727790021;0.9967120310761349;0.9408423114710294
model : layers: [40, 40] ['relu', 'relu'] optimizer: Nadam;0.9979529355434661;0.9964380337120855;0.8585700294063093
model : layers: [40, 40] ['relu', 'relu'] optimizer: Nadam;0.998065765867842;0.997351358258917;0.8409402546639774
model : layers: [40, 40] ['relu', 'relu'] optimizer: Nadam;0.9977595121302503;0.9958900389839868;0.9375122428991185
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.9987105105785613;0.9885834417764275;0.8260528893358677
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.999016764316153;0.9972600260818698;0.9120470127442908
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.9986460361074894;0.9977166883552855;0.9602350636630754
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.9985493244008815;0.9957987065293036;0.9192948090224495
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: SGD;0.998065765867842;0.9951593798800182;0.92850146915957
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: SGD;0.9967601578286354;0.9938807252368184;0.8374142997295219
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: SGD;0.9960670572646121;0.994063389890324;0.8783545543701479
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: SGD;0.9975822073348025;0.9937893925262745;0.7553379040506981
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adam;0.9986299174897214;0.997625356156463;0.8532810969754367
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adam;0.998065765867842;0.9920540761431555;0.9445641528030567
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adam;0.9984687313120416;0.9972600260818698;0.9124387855511104
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adam;0.9983236637521298;0.9962553687809439;0.9416258570029383
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: RMSprop;0.9984526126942737;0.9978993532646517;0.8683643486894427
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: RMSprop;0.9984042568409697;0.9915974138915152;0.9343780607364554
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: RMSprop;0.9985170871653455;0.9974426909912361;0.9096963761135367
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: RMSprop;0.9987588664318653;0.9978080208099687;0.9057786483839373
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.9989361712273132;0.9962553690803553;0.8763956905228618
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.9992424249649048;0.9975340237235553;0.8955925563173359
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.9994519669958886;0.9990866751755326;0.8105778648617452
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.9993713739070487;0.9976253561782384;0.9316356513339088
