Model;acc;val_acc;test_acc
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.971695473195657;0.9689516534665275;0.7218795888924564
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: SGD;0.9333399349433457;0.9329467863861753;0.7218795887699211
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: SGD;0.9436219863804955;0.9430468500212336;0.7223201175268176
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adam;0.970457665993958;0.9649303310782339;0.7303964758059351
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adam;0.9719100283271215;0.9634340209364723;0.7102790014159137
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: RMSprop;0.9701440861565063;0.9641821799092751;0.7450807635304512
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: RMSprop;0.9692198569202377;0.9663331177251818;0.756093979371977
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.9665131796187613;0.9555784108082906;0.7205580030068777
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.9703586399550288;0.9657720040307348;0.7299559470665438
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adagrad;0.9325972518814892;0.9283643536479393;0.727459618261032
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adagrad;0.9285867548658215;0.9208828263506634;0.718942731225018
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adamax;0.9550923365441794;0.9439820392611408;0.7205580030068777
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adamax;0.9547622540456262;0.9449172329603873;0.7350954479232934
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Nadam;0.9777854910389262;0.9725989020206324;0.7309838472133866
