Model;acc;val_acc;test_acc
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.951443563966569;0.933080425030907;0.933975311171439
model : layers: [40, 50, 50, 10] ['relu', 'relu', 'relu', 'relu'] optimizer: Adamax;0.944721191280228;0.933839151457698;0.933975311171439
model : layers: [40, 20] ['relu', 'relu'] optimizer: Nadam;0.937356042973044;0.938391504591622;0.933463094811248
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: RMSprop;0.938239860601076;0.932928681464043;0.933463094811248
model : layers: [40, 10] ['relu', 'relu'] optimizer: Nadam;0.942016173905799;0.93702579973681;0.93284843517902
model : layers: [40, 50, 50, 40] ['relu', 'relu', 'relu', 'relu'] optimizer: Adamax;0.946997691933807;0.930955996010481;0.932336218818829
model : layers: [40, 50, 40] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.951764953354187;0.93550834335579;0.931670337550581
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adadelta;0.939766456665917;0.930045523032071;0.931619115914562
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adamax;0.94391772105178;0.932625188541702;0.931363007734467
model : layers: [40, 50, 50, 40] ['relu', 'relu', 'relu', 'relu'] optimizer: Adadelta;0.962772510170368;0.931259486128962;0.931004456282333
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.946328132152174;0.930804245750531;0.930184910106029
model : layers: [40, 30] ['relu', 'relu'] optimizer: RMSprop;0.935374149538541;0.930804249097074;0.929723915381857
model : layers: [40, 50, 30] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.958728371802341;0.9297420294766;0.929672693745838
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adadelta;0.947720817897908;0.932776931475435;0.929519028837781
model : layers: [40, 50, 40] ['relu', 'relu', 'relu'] optimizer: Adamax;0.942685731171578;0.929742036712369;0.92900681247759
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adamax;0.941185921074601;0.93323217203476;0.928801925933514
model : layers: [40, 50, 30] ['relu', 'relu', 'relu'] optimizer: Adamax;0.942176869547842;0.931259482058842;0.928699482661476
model : layers: [40, 30] ['relu', 'relu'] optimizer: Adadelta;0.936686486384119;0.927162360258638;0.928443374481381
model : layers: [40, 30] ['relu', 'relu'] optimizer: RMSprop;0.932856606839459;0.924886189842079;0.928187266301286
